ad_id,source,ad_start,ad_end,days_active,spend,impressions,clicks,ctr,n_leads,inbounded_perc,high_leads_perc,adult_leads_perc,connected_call_perc,revenue,roas
120201336803440164,fb,"5 November, 2023","30 November, 2023",8,156.83,"9,010",37,0.41065,2,50,0,0,0,0,0
120201336811300164,fb,"5 November, 2023","19 November, 2023",4,37.32,"1,843",11,0.5968529571351058058,1,100,0,0,0,0,0
120201336834670164,fb,"5 November, 2023","21 November, 2023",3,19.84,"1,179",4,0.3392705682782019,0,,,,,0,0
120201408933180164,fb,"7 November, 2023","27 November, 2023",11,187.18,"10,362",49,0.472881683073,4,75,25,25,0,0,0
120201409351750164,fb,"7 November, 2023","7 December, 2023",7,59.19,"2,876",8,0.278164116828929068,1,100,0,0,0,0,0
120201409381540164,fb,"7 November, 2023","25 December, 2023",47,"27,407.24","1,531,142","6,013",0.3927134126031,"1,103",78.06,22.12,9.16,0,"51,000",1.86
120201443539110164,fb,"8 November, 2023","3 December, 2023",15,483.76,"10,421",34,0.32626427406199021207,0,,,,,0,0
120201445221780164,fb,"8 November, 2023","5 December, 2023",16,561.71,"13,876",52,0.374747765926780052,0,,,,,0,0
120201447185460164,fb,"9 November, 2023","3 December, 2023",12,362.29,"6,704",39,0.58,0,,,,,0,0
120201484083500164,fb,"9 November, 2023","3 January, 2024",56,"34,566.27","2,669,519","7,250",0.27158450642231802808,"1,237",76.39,26.03,5.82,0,"76,500",2.21
120201519322980164,fb,"11 November, 2023","1 December, 2023",8,112.95,"5,732",6,0.1046755059316120028,0,,,,,0,0
120201519702940164,fb,"11 November, 2023","11 November, 2023",1,73.53,"4,299",2,0.04652244708072,0,,,,,0,0
120201519765500164,fb,"11 November, 2023","3 December, 2023",8,337.6,"14,859",10,0.067299279897705095,0,,,,,0,0
120201658701710164,fb,"15 November, 2023","8 December, 2023",14,74.91,"2,664",31,1.16,0,,,,,0,0
